"Rec No","Pump Id","Main Pump","Tank Id","Nozzle No","Pump Number","Pump Name","Combined Name","Default Tank Name","Last Reading Elec","Last Reading Mech","Last Reading Shs"
          85,           38,0,            2,            1,"UX1","UNLEADED","UX1 UNLEADED","UNLEADED TANK 1"," 2,755,545.996"," 2,736,248.000", 355936389.630
          86,           39,0,            1,            0,"DX1","DIESEL","DX1 DIESEL","DIESEL TANK 1","   196,167.870","   580,912.000"," 34678,845.200"
          87,           40,0,            3,            0,"VP1","V-POWER","VP1 V-POWER","V-POWER TANK 1","   157,967.528","   157,879.000"," 21928,256.130"
          88,           41,0,            7,            0,"UX2","UNLEADED","UX2 UNLEADED","UNLEADED TANK 3"," 1,952,010.285"," 2,176,611.000", 255993314.550
          89,           42,0,            5,            0,"DX2","DIESEL","DX2 DIESEL","DIESEL TANK 2","   310,361.972"," 2,493,442.000"," 50810,614.830"
          90,           43,0,            3,            0,"VP2","V-POWER","VP2 V-POWER","V-POWER TANK 1","   169,841.121","   169,746.000"," 23438,358.450"
          91,           44,0,            2,            0,"UX3","UNLEADED","UX3 UNLEADED","UNLEADED TANK 1"," 2,687,443.660"," 2,681,862.000", 353698594.960
          92,           45,0,            5,            0,"DX3","DIESEL","DX3 DIESEL","DIESEL TANK 2"," 1,704,647.958"," 1,704,625.000", 202084200.280
          93,           46,0,            3,            0,"VP3","V-POWER","VP3 V-POWER","V-POWER TANK 1","   322,103.404","   322,048.000"," 48089,541.920"
          94,           47,0,            7,            0,"UX4","UNLEADED","UX4 UNLEADED","UNLEADED TANK 3"," 1,447,065.953"," 1,440,933.000", 191312798.290
          95,           48,0,            5,            0,"DX4","DIESEL","DX4 DIESEL","DIESEL TANK 2"," 1,873,446.358"," 1,873,416.000", 219759111.350
          96,           49,0,            3,            0,"VP4","V-POWER","VP4 V-POWER","V-POWER TANK 1","   232,809.097","   232,731.000"," 34503,666.320"
         128,           51,,            4,            0,"IK","KEROSENE","IK KEROSENE","KEROSENE TANK 1",         0.000,         0.000,         0.000
         157,           52,,            6,            0,"UX5","UNLEADED","UX5 UNLEADED","UNLEADED TANK 2"," 4,464,435.794"," 4,464,401.000", 530525527.810
         158,           53,,            6,            0,"UX6","UNLEADED","UX6 UNLEADED","UNLEADED TANK 2"," 2,062,550.099"," 2,062,304.000", 243654587.770
         159,           54,,            7,            0,"UX7","UNLEADED","UX7 UNLEADED","UNLEADED TANK 3"," 1,591,620.545"," 1,591,589.000", 201696083.300
         160,           55,,            7,            0,"UX8","UNLEADED","UX8 UNLEADED","UNLEADED TANK 3","   883,949.294","   883,892.000", 111245658.630
